id,date,item
1,2017-01-02,A
1,2017-01-10,C
1,2017-01-11,C
1,2017-01-12,Y
1,2017-01-20,D
2,2016-12-20,A
2,2017-01-05,X
2,2017-01-18,B
2,2017-01-20,C
2,2017-01-22,A
2,2017-01-23,E
2,2017-02-01,Z
3,2017-02-02,A
3,2017-02-03,I
3,2017-02-08,Z
3,2017-02-18,K
3,2017-02-20,L
3,2017-02-22,M
4,2016-08-28,A
4,2016-08-31,L
4,2016-09-06,D
4,2016-09-10,E
5,2016-11-01,I
5,2016-11-04,J
5,2016-11-23,B
5,2016-12-07,K
5,2016-12-24,L
6,2016-08-09,I
6,2016-08-12,J
6,2016-10-24,L
6,2016-10-29,M
7,2017-01-01,I
7,2017-01-02,J
7,2017-01-23,K
7,2017-02-10,J
7,2017-02-11,K
7,2017-02-14,L
7,2017-02-26,M
8,2015-12-15,I
8,2015-12-17,M
8,2016-06-06,K
8,2016-07-21,K
8,2016-07-22,M
8,2017-02-22,L
8,2017-02-24,M
9,2017-01-13,J
9,2017-01-22,K
9,2017-02-01,L
9,2017-02-04,M
10,2017-01-18,V
10,2017-02-24,Z
10,2017-01-27,K
10,2017-01-28,W
